Species,Ecomorph,BodyLength,ForeLimbLength,digit_1,HindLimbLength,toe_1
rubribarbus,TrunkGround,10.83830405,1.607465771,0.276581885,2.24167085,0.701090464
scriptus,TrunkGround,16.65335534,1.422518451,0.223428566,1.96982014,0.584769258
semilineatus,GrassBush,9.261114706,1.173876369,0.200013062,2.069762145,0.660281939
sheplani,Twig,6.003253195,1.347587136,0.183576397,1.633757314,0.412117575
shrevei,TrunkGround,13.2228672,1.336025131,0.232783805,1.791423978,0.576955947
singularis,TrunkCrown,8.362285869,1.395192676,0.226493094,1.697621945,0.502613767
smallwoodi,CrownGiant,28.16637056,1.521085749,0.218027829,1.9041889,0.546889092
smaragdinus,TrunkCrown,24.33356353,1.379128584,0.201819717,1.752671209,0.494465652
spectrum,GrassBush,7.322812553,1.286130327,0.171581766,2.314464378,0.61526361
strahmi,TrunkGround,16.58853538,1.710373519,0.251880439,2.291284134,0.643065372
stratulus,TrunkCrown,10.4112454,1.525024964,0.262574837,1.93021478,0.548704238
valencienni,Twig,14.83985252,1.42605736,0.197282086,1.700117593,0.457550887
vanidicus,GrassBush,6.640489498,1.316690758,0.20208302,2.353713101,0.631322126
viridius,TrunkCrown,13.22971679,1.316807402,0.208040955,1.714827039,0.509528245
websteri,Trunk,10.84163356,1.59282323,0.249257025,1.864788972,0.52093637
whitemani,TrunkGround,13.22719071,1.423487084,0.22454332,1.920487032,0.585215014
